Name,Image,Team,Year
Kawhi Leonard,https://cdn.statmuse.com/img/nba/players/san-antonio-spurs-kawhi-leonard2019-min--9-h2jdiq.png,Spurs,2014
Patty Mills,https://cdn.statmuse.com/img/nba/players/san-antonio-spurs-patty-mills-min--6sa-ptyq.png,Spurs,2014
Tony Parker,https://cdn.statmuse.com/img/nba/players/san-antonio-spurs-tony-parker2017-compressor-mhp7gqw8--a6fwatmk.png,Spurs,2014
Tiago Splitter,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Malcolm Thomas,https://cdn.statmuse.com/img/nba/teams/San-Antonio-Spurs-Silhouette.png,Spurs,2014
Leandro Barbosa,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Harrison Barnes,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-harrison-barnes2021-min--b5rfgqx1.png,Warriors,2015
Andrew Bogut,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-andrew-bogut-min--yd8li_2q.png,Warriors,2015
Stephen Curry,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-stephen-curry2021-min-1-1--gmckzkgf.png,Warriors,2015
Festus Ezeli,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Draymond Green,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-draymond-green2018-min--ml0c-oct.png,Warriors,2015
Justin Holiday,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Andre Iguodala,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-andre-iguodala2023-min--o8i4g26g.png,Warriors,2015
Ognjen Kuzmic,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
David Lee,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Shaun Livingston,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-shaun-livingston-min--ol6ftep-.png,Warriors,2015
James Michael McAdoo,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Brandon Rush,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Marreese Speights,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2015
Klay Thompson,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-klay-thompson2022-min--nuqzza6n.png,Warriors,2015
Jared Cunningham,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Matthew Dellavedova,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Channing Frye,https://cdn.statmuse.com/img/nba/players/channing-frye-cleveland-cavaliers-min--l0ga4dn7.png,Cavs,2016
Joe Harris,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-joe-harris-min--pxlfmxhy.png,Cavs,2016
Kyrie Irving,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-kyrie-irving2022-min--zud6rykg.png,Cavs,2016
LeBron James,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-lebron-james2021-min---cdeggnq.png,Cavs,2016
Richard Jefferson,https://cdn.statmuse.com/img/nba/players/richard-jefferson-cleveland-cavaliers-min--4iynjxj6.png,Cavs,2016
Dahntay Jones,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
James Jones,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Sasha Kaun,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Kevin Love,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-kevin-love2023-copy-min--crrth7s2.png,Cavs,2016
Jordan McRae,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Timofey Mozgov,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Iman Shumpert,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
JR Smith,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-jr-smith2018-min--j0ahpr_v.png,Cavs,2016
Tristan Thompson,https://cdn.statmuse.com/img/nba/players/cleveland-cavaliers-tristan-thompson2021-min--g8ozaz04.png,Cavs,2016
Anderson Varejao,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Mo Williams,https://cdn.statmuse.com/img/nba/teams/Cleveland-Cavaliers-Silhouette.png,Cavs,2016
Christian Braun,https://cdn.statmuse.com/img/nba/players/denver-nuggets-christian-braun-copy-min--brgo1bj1.png,Nuggets,2023
Bruce Brown,https://cdn.statmuse.com/img/nba/players/denver-nuggets-bruce-brown-min--h4u2wt4g.png,Nuggets,2023
Thomas Bryant,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Kentavious Caldwell-Pope,https://cdn.statmuse.com/img/nba/players/denver-nuggets-kentavious-caldwell-pope-min--qf95n1s9.png,Nuggets,2023
Vlatko Cancar,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Collin Gillespie,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Aaron Gordon,https://cdn.statmuse.com/img/nba/players/denver-nuggets-aaron-gordon2021-min--afroaock.png,Nuggets,2023
Jeff Green,https://cdn.statmuse.com/img/nba/players/denver-nuggets-jeff-green-min--lzg1c8xq.png,Nuggets,2023
Markus Howard,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Bones Hyland,https://cdn.statmuse.com/img/nba/players/denver-nuggets-bones-hyland-min--nq-e6kto.png,Nuggets,2023
Reggie Jackson,https://cdn.statmuse.com/img/nba/players/denver-nuggets-reggie-jackson-copy-min--bk6lnkni.png,Nuggets,2023
Nikola Jokic,https://cdn.statmuse.com/img/nba/players/denver-nuggets-nikola-jokic2021-min--kw623ufi.png,Nuggets,2023
DeAndre Jordan,https://cdn.statmuse.com/img/nba/players/denver-nuggets-deandre-jordan-min--bpewupos.png,Nuggets,2023
Jamal Murray,https://cdn.statmuse.com/img/nba/players/denver-nuggets-jamal-murray2021-min--_hzwkmsn.png,Nuggets,2023
Zeke Nnaji,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Jalen Pickett,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Michael Porter Jr.,https://cdn.statmuse.com/img/nba/players/denver-nuggets-michael-porter-jr-min--v2xxe9ph.png,Nuggets,2023
Davon Reed,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Ish Smith,https://cdn.statmuse.com/img/nba/players/denver-nuggets-ish-smith-min--a291modg.png,Nuggets,2023
Julian Strawther,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Hunter Tyson,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Peyton Watson,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Jack White,https://cdn.statmuse.com/img/nba/teams/Denver-Nuggets-Silhouette.png,Nuggets,2023
Ray Allen,https://cdn.statmuse.com/img/nba/players/miami-heat-ray-allen-min--q7yre7xt.png,Heat,2013
Chris Andersen,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Joel Anthony,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Shane Battier,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Chris Bosh,https://cdn.statmuse.com/img/nba/players/9892fc28-9d19-11e6-8d66-0a6f65fc9427.png,Heat,2013
Mario Chalmers,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Norris Cole,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Josh Harrellson,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Terrel Harris,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Udonis Haslem,https://cdn.statmuse.com/img/nba/players/miami-heat-udonis-haslem-min--tgaoj9ee.png,Heat,2013
Juwan Howard,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
LeBron James,https://cdn.statmuse.com/img/nba/players/miami-heat-lebron-james2021-min--kzxrzyus.png,Heat,2013
James Jones,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Rashard Lewis,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Mike Miller,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Dexter Pittman,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Jarvis Varnado,https://cdn.statmuse.com/img/nba/teams/Miami-Heat-Silhouette.png,Heat,2013
Dwyane Wade,https://cdn.statmuse.com/img/nba/players/miami-heat-dwyane-wade-young-min--x526gt-r.png,Heat,2013
OG Anunoby,https://cdn.statmuse.com/img/nba/players/toronto-raptors-og-anunoby2023-copy-min--2ihggsxo.png,Raptors,2019
Chris Boucher,https://cdn.statmuse.com/img/nba/players/toronto-raptors-chris-boucher2022-min--igvdpmpz.png,Raptors,2019
Lorenzo Brown,https://cdn.statmuse.com/img/nba/teams/Toronto-Raptors-Silhouette.png,Raptors,2019
Marc Gasol,https://cdn.statmuse.com/img/nba/players/toronto-raptors-marc-gasol-min--u-ki5kx0.png,Raptors,2019
Danny Green,https://cdn.statmuse.com/img/nba/players/toronto-raptors-danny-green2022-min--hxd-8sdm.png,Raptors,2019
Serge Ibaka,https://cdn.statmuse.com/img/nba/players/toronto-raptors-serge-ibaka-new-compressor--qqnhzvqj.png,Raptors,2019
Kawhi Leonard,https://cdn.statmuse.com/img/nba/players/toronto-raptors-kawhi-leonard2019-min--6wxhste_.png,Raptors,2019
Jeremy Lin,https://cdn.statmuse.com/img/nba/players/toronto-raptors-jeremy-lin-min--4thilqjr.png,Raptors,2019
Kyle Lowry,https://cdn.statmuse.com/img/nba/players/toronto-raptors-kyle-lowry-new-compressor--2xemuika.png,Raptors,2019
Jordan Loyd,https://cdn.statmuse.com/img/nba/teams/Toronto-Raptors-Silhouette.png,Raptors,2019
Patrick McCaw,https://cdn.statmuse.com/img/nba/players/toronto-raptors-patrick-mccaw-min---oqzjjar.png,Raptors,2019
Jodie Meeks,https://cdn.statmuse.com/img/nba/players/toronto-raptors-jodie-meeks-min--8dmybswj.png,Raptors,2019
CJ Miles,https://cdn.statmuse.com/img/nba/teams/Toronto-Raptors-Silhouette.png,Raptors,2019
Malcolm Miller,https://cdn.statmuse.com/img/nba/teams/Toronto-Raptors-Silhouette.png,Raptors,2019
Greg Monroe,https://cdn.statmuse.com/img/nba/players/toronto-raptors-greg-monroe-min--gpn_e7pn.png,Raptors,2019
Eric Moreland,https://cdn.statmuse.com/img/nba/teams/Toronto-Raptors-Silhouette.png,Raptors,2019
Norman Powell,https://cdn.statmuse.com/img/nba/players/toronto-raptors-norman-powell-min--wvsepist.png,Raptors,2019
Malachi Richardson,https://cdn.statmuse.com/img/nba/teams/Toronto-Raptors-Silhouette.png,Raptors,2019
Pascal Siakam,https://cdn.statmuse.com/img/nba/players/toronto-raptors-pascal-siakam2022-min--kqbr6uk1.png,Raptors,2019
Jonas Valanciunas,https://cdn.statmuse.com/img/nba/players/toronto-raptors-jonas-valanciunas2021-min-1---dsiowd9a.png,Raptors,2019
Fred VanVleet,https://cdn.statmuse.com/img/nba/players/toronto-raptors-fred-vanvleet2022-min--alrtf6kt.png,Raptors,2019
Delon Wright,https://cdn.statmuse.com/img/nba/teams/Toronto-Raptors-Silhouette.png,Raptors,2019
Nemanja Bjelica,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-nemanja-bjelica-min--mfgmw_0n.png,Warriors,2022
Chris Chiozza,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2022
Stephen Curry,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-stephen-curry2021-min-1-1--gmckzkgf.png,Warriors,2022
Jeff Dowtin Jr.,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2022
Draymond Green,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-draymond-green2018-min--ml0c-oct.png,Warriors,2022
Andre Iguodala,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-andre-iguodala2023-min--o8i4g26g.png,Warriors,2022
Jonathan Kuminga,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-jonathan-kuminga2024-min--ourixpak.png,Warriors,2022
Damion Lee,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-damion-lee-min--e_hivv9b.png,Warriors,2022
Kevon Looney,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-kevon-looney2022-min--b__1bp6s.png,Warriors,2022
Moses Moody,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-moses-moody-min--vcl9drzc.png,Warriors,2022
Gary Payton II,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-gary-payton-ii-min--rqwcnv10.png,Warriors,2022
Jordan Poole,https://cdn.statmuse.com/img/nba/players/golden-state-warriiors-jordan-poole2022-min--wgxgp7ed.png,Warriors,2022
Otto Porter Jr.,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-otto-porter-jr2021-min--ovv9rayq.png,Warriors,2022
Klay Thompson,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-klay-thompson2022-min--nuqzza6n.png,Warriors,2022
Juan Toscano-Anderson,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-juan-toscano-anderson-min--szahi2ka.png,Warriors,2022
Quinndary Weatherspoon,https://cdn.statmuse.com/img/nba/teams/Golden-State-Warriors-Silhouette.png,Warriors,2022
Andrew Wiggins,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-andrew-wiggins2022-min--uthxuclk.png,Warriors,2022
James Wiseman,https://cdn.statmuse.com/img/nba/players/golden-state-warriors-james-wiseman-min--ohamuzlh.png,Warriors,2022